TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRATIO,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PACE/40,PIE,Opp_FGM,Opp_FGA,Opp_FG%,Opp_3PM,Opp_3PA,Opp_3P%,Opp_FTM,Opp_FTA,Opp_FT%,Opp_OREB,Opp_DREB,Opp_REB,Opp_AST,Opp_TOV,Opp_STL,Opp_BLK,Opp_BLKA,Opp_PF,Opp_PFD,Opp_PTS,Opp_+/-
Washington Mystics,14,6,8,0.429,40.4,79.5,27.6,63,43.8,5.6,16.6,33.6,18.8,25.6,73.5,8.8,27.1,35.9,18.4,16.1,6.6,3.1,4.1,21.4,22.9,-1.6,565,98.5,101,-2.5,66.8,1.14,16.5,31.9,71.6,52.4,20,48.2,53.5,95.75,79.79,50,27.3,66.2,41.2,8.6,28,30.9,17.9,22.4,79.6,8.1,24.4,32.5,18.6,14.4,8.3,4.1,3.1,22.9,21.4,81.1,1.6
Seattle Storm,14,9,5,0.643,40,83.1,31.9,68.1,46.8,7.8,20.6,37.8,11.6,15.6,74.8,6.5,25,31.5,22.6,13.3,8.4,4.3,4.8,16.6,16.8,4.7,560,104.4,98.6,5.8,71.1,1.7,20.1,27.2,69.2,48.6,16.7,52.5,55.5,95.53,79.61,54.3,28.7,66.4,43.2,7.7,22.9,33.6,13.3,17.2,77.2,8.6,25.9,34.6,19.2,16.3,7.1,4.8,4.3,16.8,16.6,78.4,-4.7
Phoenix Mercury,15,11,4,0.733,40,82.3,28.9,67.7,42.8,9.9,29.7,33.4,14.5,18.3,79.2,9.1,24.7,33.8,20.2,14.8,9.2,3.9,3.7,19.3,17.6,4.1,600,102.3,97.3,5,69.8,1.36,18,30.4,68.9,49.2,18.4,50.1,54.3,96.44,80.37,52.4,27.1,64.1,42.2,7.8,24.6,31.7,16.3,20.1,80.8,8.1,26.1,34.3,19.3,18.1,7.3,3.7,3.9,17.6,19.3,78.2,-4.1
New York Liberty,13,10,3,0.769,40,88.3,30.2,65.2,46.4,10.2,29.3,34.9,17.6,21.5,82.1,6.8,28.8,35.6,21.8,14.5,9.2,4.9,2.8,17.7,18.6,11.1,520,108.3,94.4,13.9,72.3,1.51,19.5,24.5,67.9,48.4,17.7,54.3,59.2,98.03,81.69,60.8,28.2,71.5,39.4,8.8,27.2,32.6,12.1,16.4,73.7,10.9,25.4,36.3,19.3,16.1,7.2,2.8,4.9,18.6,17.7,77.2,-11.1
Minnesota Lynx,13,12,1,0.923,40,84.8,31,65.8,47.1,9.5,25.2,37.9,13.3,17,78.3,7.9,25.8,33.8,23.8,13.8,8,4.9,2.9,17.5,17.5,10.8,520,108.1,94.5,13.6,76.9,1.72,21.2,28.5,68.7,49.8,17.6,54.3,57.9,94.11,78.42,60.4,26.8,66.2,40.5,7.5,25.3,29.8,13,16.8,77.5,9.4,23.9,33.3,17.7,16,6.8,2.9,4.9,17.5,17.5,74.1,-10.8
Los Angeles Sparks,14,4,10,0.286,40.4,81,27.7,64.5,43,8.3,24.4,33.9,17.3,22.5,76.8,8.2,25.1,33.3,18.9,16,8.1,2.7,5,18.3,20.2,-5.6,565,100.4,106.9,-6.5,68,1.18,17,29,70.2,49.5,19.8,49.4,54.4,96.17,80.14,45.6,30.9,68.6,45,9.6,28.4,33.8,15.3,17.8,85.9,8.1,25.1,33.3,21.4,13.9,8.9,5,2.7,20.2,18.3,86.6,5.6
Las Vegas Aces,13,6,7,0.462,40,80.2,26.8,67.2,39.8,9.2,26.6,34.7,17.4,20.7,84,8.2,24.7,32.9,16.6,14.2,7.6,4.4,2.7,16.2,18.5,-2.8,520,100,103.4,-3.4,62.1,1.17,15.4,27,69.8,47.4,17.8,46.7,52.5,96.23,80.19,45.7,31.2,68.2,45.8,7.5,22.2,33.9,12.9,15.6,82.8,8.4,28,36.4,22.2,14.4,6.7,2.7,4.4,18.5,16.2,82.9,2.8
Indiana Fever,13,6,7,0.462,40,83.2,30.7,67.2,45.7,8.5,24.2,35,13.4,18.5,72.2,7.5,26.2,33.7,19.5,14.8,6.8,3.5,4.3,20.6,20.2,4.5,520,103.9,97.8,6.1,63.7,1.32,17.6,29.9,69.6,50.2,18.4,51.9,55.2,96.37,80.31,53.2,27.8,66.1,42.1,6,22.5,26.7,17.1,22.6,75.5,9.2,25.2,34.4,17,14.3,7,4.3,3.5,20.2,20.6,78.8,-4.5
Golden State Valkyries,13,7,6,0.538,40.4,79,26.8,67.3,39.8,8.2,29.9,27.5,17.2,21.6,79.7,10.2,26.8,37,18,15.8,8.6,3.4,4.4,19,18.9,0.6,525,98.2,97.6,0.6,67.2,1.14,16,33.1,72.4,52.3,19.6,45.9,51.4,95.54,79.62,49.3,27,66.1,40.9,8.8,26.4,33.2,15.6,20.2,77.5,7.5,26.3,33.8,19.2,14.8,8.6,4.4,3.4,18.9,19,78.4,-0.6
Dallas Wings,15,3,12,0.2,40.3,82.3,29.6,71.4,41.5,6.6,21.1,31.2,16.5,20.7,79.4,12,24.5,36.5,19.5,15,7.7,4.5,4.9,20.4,19.1,-4.9,605,102,107.5,-5.5,66,1.3,16.7,38.1,69.1,52.6,18.6,46.1,51.1,96.24,80.2,45,29.9,65.6,45.6,9,23.5,38.4,18.3,24.3,75.1,8.5,25.1,33.7,22.5,14.5,8.1,4.9,4.5,19.1,20.4,87.1,4.9
Connecticut Sun,14,2,12,0.143,40,71.8,25.5,64.4,39.6,6.1,21.1,29.1,14.6,18.4,79.5,8.6,22,30.6,16.9,15.2,7,3.8,3.4,21.6,19.1,-15.8,560,91.4,111.8,-20.3,66.1,1.11,15.8,28.3,62.3,44.6,19.4,44.3,49.5,94.11,78.43,36.6,29.7,65.2,45.6,8.6,23.6,36.7,19.5,24.3,80.3,10.1,27.7,37.8,20.7,14.7,8,3.4,3.8,19.1,21.6,87.6,15.8
Chicago Sky,13,3,10,0.231,40,76.5,28.3,67.3,42.1,6.3,20.8,30.3,13.5,18,75.2,10.5,24.8,35.3,19.5,18.2,7.8,3.8,6,18.5,17.2,-11.9,520,95.6,110.7,-15.1,69,1.08,17,37.1,68.8,52.6,22.7,46.7,50.8,95.91,79.92,41.5,31.2,67.5,46.1,11.2,27.5,40.9,14.8,20.2,73.7,9.2,24,33.2,21.4,14.2,10.2,6,3.8,17.2,18.5,88.4,11.9
Atlanta Dream,14,10,4,0.714,40,85.5,29.6,68.4,43.3,10.6,30.4,34.7,15.6,20.3,77.1,9.1,27.7,36.9,21.1,12.5,5.9,5,2.9,18.2,19,7.7,560,108.5,99.3,9.3,71.3,1.69,18.7,31.7,72.1,51.8,15.9,51,55.3,94.29,78.57,55.4,28.9,67,43.1,5.4,17.9,30.3,14.6,20,73.2,7.5,25.7,33.2,18.1,12.1,6.7,2.9,5,19,18.2,77.8,-7.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
